4370.86,33891.42,192.81,13391.05
9556.43,8786.30,912.30,10564.69
7587.95,12273.29,554.73,10891.42
6387.93,45434.94,843.81,18000.30
2404.17,32289.31,388.04,11254.65
2403.95,5413.87,905.97,2162.34
1522.75,9566.22,450.28,8765.85
8795.59,34857.58,109.75,18892.77
6410.04,5227.77,914.84,6665.22
7372.65,12236.36,182.16,11131.63
1185.26,29693.02,387.38,10339.20
9729.19,36135.28,955.06,20106.10
8491.98,34338.26,955.55,20022.31
2911.05,15092.12,616.09,9264.28
2636.42,37048.06,668.65,13066.39
2650.64,15676.21,503.60,6493.80
3738.18,19642.99,363.89,9155.02
5722.81,38592.11,395.80,12577.44
4887.51,34233.48,705.27,12241.18
3621.06,43215.05,777.14,19614.80
6506.68,34592.58,812.42,20202.63
2255.44,30573.89,810.66,11434.65
3629.30,9215.36,182.09,7543.93
4297.26,21547.21,544.98,11481.62
5104.63,16934.11,151.80,16158.17
8066.58,15979.53,594.58,14934.26
2797.06,48785.47,497.38,17444.38
5628.11,22689.40,898.93,10664.45
6331.73,45142.09,415.82,16503.94
1418.05,33401.24,205.36,12184.53
6467.90,40766.51,228.69,16924.26
2534.72,27618.67,785.36,8425.79
1585.46,30960.67,656.40,10116.76
9539.97,27163.30,191.01,15123.48
9690.69,13785.93,175.70,16789.56
8275.58,37510.35,730.87,21187.13
3741.52,17634.76,165.49,8990.43
1879.05,6094.22,839.67,7246.54
7158.10,34046.25,735.62,17475.28
4961.37,12969.98,173.21,6970.28
2098.34,47320.64,176.35,19553.32
5456.59,47926.79,987.98,21112.86
1309.50,46168.90,436.84,13559.34
9183.88,21657.14,433.58,15023.80
3329.02,5695.55,831.52,3647.23
6962.70,46774.34,952.52,18297.92
3805.40,24268.29,987.40,13315.67
5680.61,48499.47,778.04,24124.88
5920.39,48362.90,438.63,17517.88
2663.69,43385.43,175.15,16931.05
9726.26,18250.20,799.43,13800.50
7976.20,22329.40,602.56,13543.00
9455.49,43301.15,481.80,21004.91
9053.45,19261.49,915.72,13070.73
6381.10,12627.17,200.08,9997.30
9296.87,30056.06,543.36,16428.41
1796.43,47126.96,110.22,16703.53
2763.85,36321.34,521.79,13844.29
1407.05,30652.75,150.67,10438.70
3927.97,9372.94,206.94,4896.89
4498.10,32675.33,205.77,13052.75
3442.14,49552.42,684.29,20090.85
8458.64,11303.78,771.44,12761.08
4210.78,28324.83,625.03,10900.79
3528.41,44481.79,965.96,17473.40
5884.26,38334.59,437.38,18775.50
2268.32,36365.71,357.14,10115.58
8219.77,36611.78,881.74,20262.59
1670.96,21177.10,301.24,7043.19
9881.98,18211.63,966.90,16470.26
7950.20,41421.25,110.94,18447.55
2788.44,41455.10,972.89,12121.72
1049.70,44018.25,138.84,11370.59
8339.15,46095.82,902.03,22242.67
7361.72,28010.41,574.93,16141.35
7561.06,27568.23,993.67,14079.22
7941.43,40923.28,166.42,21121.19
1666.40,34248.38,598.47,9111.60
4226.19,36588.51,972.37,15390.14
2042.82,40810.67,570.79,12282.55
8767.93,45050.24,666.46,20827.74
6609.68,20209.78,726.17,12745.44
3978.08,21901.23,509.09,8944.80
1572.03,9229.19,664.80,4114.38
3798.84,31022.61,625.88,15315.69
3926.65,6617.40,911.04,5082.46
7566.46,25951.91,140.90,16653.09
6738.02,29419.01,352.87,13087.14
8984.91,17894.36,955.37,15400.82
5249.93,31587.50,901.24,17785.57
2076.35,6372.51,510.09,1000.00
7419.20,6680.67,658.12,7725.28
7847.07,42017.03,349.64,21327.49
6051.49,21208.58,269.31,11798.54
7938.70,10717.72,517.33,11697.47
5444.16,28500.95,418.02,12703.04
5704.60,39649.71,625.29,17769.84
4847.87,14711.95,169.96,8800.52
1228.77,33030.07,976.96,14231.18
1971.02,8840.64,987.59,5770.49
1282.86,7325.68,728.35,4779.83
6727.69,28910.96,582.49,14475.55
3829.20,29328.58,378.57,11722.64
